"","Course Code","Course Name","Course Description","Credit Amount","Antirequisite","Corequisite","Prerequisite","Hours","Lecture","Lab","Tutorial","Breadth Requirement","Note"
"15","Mathematics 3120A/B","Group Theory","An introduction to the theory of groups: cyclic, dihedral, symmetric, alternating; subgroups, quotient groups, homomorphisms, cosets, Lagrange's theorem, isomorphism theorems; group actions, class equation, p-groups, Sylow theorems; direct and semidirect products, wreath products, finite abelian groups; Jordan-Hölder theorem, commutator subgroup, solvable and nilpotent groups; free groups, generators and relations.",3,"","","Mathematics 3020A/B (recommended); or Mathematics 1600A/B and one of Mathematics 1120A/B, Mathematics 2120A/B, Mathematics 2124A/B, Mathematics 2155F/G, Applied Mathematics 2811A/B","3 lecture hours",TRUE,FALSE,FALSE,"Category C",""
"16","Mathematics 3121A/B","Advanced Linear Algebra","A continuation of the material of Mathematics 2120A/B including properties of complex numbers and the principal axis theorem; singular value decomposition; linear groups; similarity; Jordan canonical form; Cayley-Hamilton theorem; bilinear forms; Sylvester's theorem.",3,"","","Mathematics 2120A/B","3 lecture hours",TRUE,FALSE,FALSE,"Category C",""
"17","Mathematics 3122A/B","Real Analysis Ii","Differentiation, the Mean Value Theorem, and integration. Metric spaces, including topology, convergence, compactness, completeness, and connectedness. Uniform convergence of functions. Selected additional topics.",3,"","","Mathematics 2122A/B with a minimum mark of 60%","3 lecture hours, 1 tutorial hour",TRUE,FALSE,TRUE,"Category C",""
"18","Mathematics 3123A/B","Differential Equations","Rigorous introduction to ordinary differential equations. Existence, uniqueness, and continuation of solutions. Linear systems with constant coefficients. Flows and dynamical systems. Series solutions.",3,"","","2.0 courses: Calculus 2503A/B; Mathematics 3122A/B; Mathematics 2120A/B; or Applied Mathematics 2811A/B","3 lecture hours",TRUE,FALSE,FALSE,"Category C",""
"19","Mathematics 3124A/B","Complex Analysis I","The Cauchy-Riemann equations, elementary functions, branches of the logarithm and argument, Cauchy's integral theorem and formula, winding number, Liouville's theorem and the fundamental theorem of algebra, the identity theorem, the maximum modulus theorem, Taylor and Laurent expansions, isolated singularities, the residue theorem and applications, the argument principle and applications.",3,"","","Mathematics 2122A/B","3 lecture hours",TRUE,FALSE,FALSE,"Category C",""
"20","Mathematics 3150A/B","Elementary Number Theory I","Divisibility, primes, congruences, theorems of Fermat and Wilson, Chinese remainder theorem, quadratic reciprocity, some functions of number theory, diophantine equations, simple continued fractions.",3,"","","1.0 course in Mathematics, Applied Mathematics, or Calculus at the 2100 level or higher","3 lecture hours",TRUE,FALSE,FALSE,"Category C",""
"21","Mathematics 3151A/B","Elementary Number Theory Ii","Arithmetic functions, perfect numbers, the Möbius inversion formula, introduction to Dirichlet series and the Riemann zeta function, some methods of combinatorial number theory, primitive roots and their relationship with quadratic reciprocity, the Gaussian integers, sums of squares and Minkowski's theorem, square and triangular numbers, Pell's equation, introduction to elliptic curves.",3,"","","Mathematics 3150A/B or Mathematics 2156A/B","3 lecture hours",TRUE,FALSE,FALSE,"Category C",""
"22","Mathematics 3152A/B","Combinatorial Math","Enumeration, recursion and generating functions, linear programming, Latin squares, block designs, binary codes, groups of symmetries, orbits, and counting.",3,"","","0.5 course from: Mathematics 2120A/B, Mathematics 2155F/G, Mathematics 2211A/B, Applied Mathematics 2811A/B, or permission of the Department","3 lecture hours",TRUE,FALSE,FALSE,"Category C",""
"23","Mathematics 3153A/B","Discrete Optimization","Network problems: shortest path, spanning trees, flow problems, matching, routing. Complexity. Integer programming.",3,"","","One of: Mathematics 2156A/B, Mathematics 3152A/B, or permission of the Department","3 lecture hours",TRUE,FALSE,FALSE,"Category C",""
"24","Mathematics 3154A/B","Introduction To Algebraic Curves","Geometry of algebraic curves over the rational, real and complex fields. Classification of affine conics, singularities, intersection numbers, tangents, projective algebraic curves, multiplicity of points, flexes. Some discussion of cubic curves.",3,"","","Mathematics 1600A/B, Mathematics 2120A/B, Mathematics 2122A/B, Mathematics 2124A/B, Mathematics 2155F/G, Mathematics 3121A/B, or the former Mathematics 2155A/B; an additional 0.5 course in Mathematics, Applied Mathematics, Calculus at the 2100 level or above","3 lecture hours",TRUE,FALSE,FALSE,"Category C",""
